imdb_id,title,year,genre,rating,plot,poster
tt0000009,Miss Jerry,1894,Romance,5.9,The adventures of a female reporter in the 1890s.,https://m.media-amazon.com/images/M/MV5BMzA4OWYwOTctYmViNy00MmU2LWIzNzgtMzZjMGE2MGFlOTc0XkEyXkFqcGc@._V1_SX300.jpg
tt0000147,The Corbett-Fitzsimmons Fight,1897,"Documentary, News, Sport",5.2,"Documentary film depicting the 1897 boxing match between James J. Corbett and Bob Fitzsimmons in Carson City, Nevada on St. Patrick's Day. Originally running for more than 100 minutes, it is the world's first feature film.",https://m.media-amazon.com/images/M/MV5BMTAwOWQ2MWQtNDc3ZS00ZGI2LTkzZWQtMjhkMzFiOTM2MzMyXkEyXkFqcGc@._V1_SX300.jpg
tt0000502,Bohemios,1905,N/A,N/A,N/A,N/A
tt0000574,The Story of the Kelly Gang,1906,"Action, Adventure, Biography",6.0,"Originally 70 minutes in running time, only 17 minutes of the world's first full-length narrative feature film survived in stills and other fragments and tell the story of Ned Kelly, an infamous 19th-century Australian outlaw.",https://m.media-amazon.com/images/M/MV5BYzUwM2E2Y2UtYmMyZS00ODEyLWE2NTMtMWMwOWMzOThiZWIwXkEyXkFqcGc@._V1_SX300.jpg
tt0000591,The Prodigal Son,1907,Drama,6.0,It's a play in three parts. This film is supposed to be the first long feature film released in Europe,https://m.media-amazon.com/images/M/MV5BNmUwOWZkMWUtMTkxYS00Y2U0LWE1ZTktMjk1MDMxYmE2YjQyXkEyXkFqcGc@._V1_SX300.jpg
tt0000615,Robbery Under Arms,1907,Drama,4.5,N/A,N/A
tt0000630,Hamlet,1908,Drama,3.2,"Hamlet suspects his uncle has murdered his father to claim the throne of Denmark and the hand of Hamlet's mother, but the prince cannot decide whether or not he should take vengeance.",N/A
tt0000675,Don Quijote,1908,Drama,4.8,"A self-proclaimed ""knight"" and his hapless squire travel the Spanish countryside, attacking ""giants"" that are really windmills in his attempt to win the love of the fair Dulcinea.",N/A
tt0000679,The Fairylogue and Radio-Plays,1908,"Fantasy, Adventure",5.2,"L. Frank Baum would appear in a white suit and present his live actors, slide shows and films as a live travelogue presentation of his popular fantasies. Highlights include Dorothy being swept to Oz in various ways, such as with b...",https://m.media-amazon.com/images/M/MV5BMGYxYTQ5ODEtYmU2Yy00MDQ4LWFhMTQtMTc5YTllZjRhY2E4XkEyXkFqcGdeQXVyMDgyNjA5MA@@._V1_SX300.jpg
tt0000862,Faldgruben,1909,N/A,4.5,"The plumber Coupeau run into the lovable Gervaise, with knowing that she is the lover of his friend Lantier, Coupeau begin to flirt the girl. The rascal Lantier has recently fallen in love with the beautiful Virginie.",N/A
tt0000886,"Hamlet, Prince of Denmark",1910,Drama,4.4,"Hamlet suspects his uncle has murdered his father to claim the throne of Denmark and the hand of Hamlet's mother, but the prince cannot decide whether or not he should take vengeance.",https://m.media-amazon.com/images/M/MV5BZmQ0ZmRlOGUtOGJmNi00NDhmLWJiZTYtNTJmNzhkOWY3YzE1XkEyXkFqcGdeQXVyOTk0NTYwMzA@._V1_SX300.jpg
tt0000941,Locura de amor,1909,Drama,3.4,"Felipe I el Hermoso provokes with his behavior the madness of his wife, Juana de Castilla.",https://m.media-amazon.com/images/M/MV5BMTg2NjEwMjUyOF5BMl5BanBnXkFtZTgwNDM5MzcwMjE@._V1_SX300.jpg
tt0001010,Protección de un convoy de víveres en el puente de camellos,1909,N/A,N/A,Short documentary about the Spanish war in Africa.,N/A
tt0001028,Salome Mad,1909,Comedy,4.3,A man is obsessed by the 'Salome' dance.,N/A
tt0001038,Sherlock Holmes VI,1910,N/A,3.5,N/A,N/A
tt0001049,Gøngehøvdingen,1909,"Drama, War",4.0,N/A,N/A
tt0001101,Abraham Lincoln's Clemency,1910,N/A,3.7,"The incidents pictured in this film are founded on fact and relate to William Scott, a young soldier from the State of Vermont. Scott is on guard after a heavy day's march, and being found asleep is placed under arrest. He is trie...",https://m.media-amazon.com/images/M/MV5BZDgwNzJjMTQtNTFkMC00ZjE5LWEwNjUtNzAxOTkwODFkODgwXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg
tt0001112,Amleto,1910,Drama,3.6,"Hamlet suspects his uncle has murdered his father to claim the throne of Denmark and the hand of Hamlet's mother, but the prince cannot decide whether or not he should take vengeance.",N/A
tt0001113,Amor gitano,1910,N/A,5.6,N/A,N/A
tt0001115,Ansigttyven I,1910,Crime,3.3,Consul Bjørn is urgently called to a company meeting in the city. He rushes off leaving his wife Ingeborg alone in their villa. The thief that has lurking outside the house enters through a window. The first thing he sees on is a ...,https://m.media-amazon.com/images/M/MV5BMjI2MmUwZmItZDBkMy00YTU1LTg4MDUtZWRhY2RiZGE5ZDhmXkEyXkFqcGdeQXVyOTE3NDAzMDU@._V1_SX300.jpg
tt0001116,Ansigttyven II,1910,N/A,3.5,N/A,N/A
tt0001122,L'auberge rouge,1910,N/A,6.0,"When one of two travelers staying at an inn steals at night from a merchant also staying there, he wakes up the next day to find the merchant now dead and his companion has left him.",N/A
tt0001159,The Connecticut Yankee,1910,N/A,4.5,N/A,N/A
tt0001175,La dame aux camélias,1912,"Drama, Romance",5.7,"Marguerite is a courtesan in Paris. She falls deeply in love with a young man of promise, Armand Duval. When Armand's father begs her not to ruin his hope of a career and position by marrying Armand, she acquiesces and leaves her ...",https://m.media-amazon.com/images/M/MV5BOGU3MWFiZDUtZGNkMy00ZTY2LWI2ZDctMTMzMTk0MTJkNjkxXkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1_SX300.jpg
tt0001184,Don Juan de Serrallonga,1910,"Adventure, Drama",3.4,"The very first Spanish full feature-length film is based on musical composed by Enric Morera on a libretto by Francesc Pujols i Morgades, based on a work by Víctor Balaguer premiered on October 7, 1922 at the Tívoli Theater in Bar...",N/A
tt0001230,Gentleman Joe,1910,N/A,5.0,N/A,N/A
tt0001240,Hamlet,1911,Drama,3.6,"Hamlet suspects his uncle has murdered his father to claim the throne of Denmark and the hand of Hamlet's mother, but the prince cannot decide whether or not he should take vengeance.",https://m.media-amazon.com/images/M/MV5BOTI3Zjg2NmUtZmNkMy00ZjkzLWIyYTEtZGNjMjA0NTE1NzgxXkEyXkFqcGc@._V1_SX300.jpg
tt0001277,Kapergasten,1910,Drama,4.6,N/A,N/A
tt0001285,The Life of Moses,1909,"Biography, Drama, Family",5.4,"The persecution of the children of Israel by the Egyptians. Now there arose up a new king in Egypt. And he said unto his people. Behold, the people of the children of Israel are more and mightier than we. Let us set over them task...",https://m.media-amazon.com/images/M/MV5BYTEwNzgzZTItMjdmNC00OWQ3LWFlYTYtYjUwNmE1YTcyMjcxXkEyXkFqcGdeQXVyNzQ1NDIxMDQ@._V1_SX300.jpg
tt0001338,"Maiskaya noch, ili utoplennitsa",1910,Drama,5.3,N/A,N/A
tt0001348,Orientalsk dans,1910,N/A,N/A,N/A,N/A
tt0001370,Rainha Depois de Morta Inês de Castro,1910,"Drama, History",5.3,"The loves, the death and the coronation of Ines de Castro, the miserable and miserable that after death was a queen.",https://m.media-amazon.com/images/M/MV5BOGRiYzM5ZmMtZDI1Yy00MWUxLThkNmEtMjAzYzdiZmRmOGM5XkEyXkFqcGdeQXVyNDg5MjMyMTM@._V1_SX300.jpg
tt0001386,Le roi des parfums,1910,N/A,4.6,N/A,N/A
tt0001440,Valdemar Sejr,1910,"Drama, History",3.0,"Karl of Riise must say goodbye to his beloved Rigmor when he's summoned by King Valdemar. He must take a message of reinforcements to the oppressed warriors in Estonia. Shortly after his arrival, Karl is captured by the pagan enem...",https://m.media-amazon.com/images/M/MV5BNzQ4YjAxZjMtMjE3NS00MDVhLTgwMDAtODcyMjI1MmNiOTExXkEyXkFqcGdeQXVyOTE3NDAzMDU@._V1_SX300.jpg
tt0001475,Amor fatal,1911,"Drama, Romance",7.6,N/A,https://m.media-amazon.com/images/M/MV5BYmIzMWRkZjYtNmU2ZC00ODY0LWFjMDUtOTEzMzdkN2M5Y2IxXkEyXkFqcGc@._V1_SX300.jpg
tt0001498,The Battle of Trafalgar,1911,War,N/A,"We show Lord Nelson leaving the admiralty room where he makes his famous speech and then introduce him with his captains giving the details of that wonderful plan of attack which was carried out to the letter at Trafalgar, the ins...",https://m.media-amazon.com/images/M/MV5BYzkwMmIyOTYtMjM4OC00YWMzLWI5YjEtYzQ1NzgxMzEzZGY5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg
tt0001530,The Bushranger's Bride,1911,Drama,6.0,"Edgar Dalmore, an impulsive youth, quarrels with his father, and in the heat of anger is disowned. Edgar's cousin, Vincent Lennox, is hard pressed for money, owing to his gambling proclivities. With aid of his friend, John Sterlin...",https://m.media-amazon.com/images/M/MV5BNjdkYWNlYTgtN2M0Yy00OWYxLTk1NTUtOGMyYTE3MzE5NWNhXkEyXkFqcGc@._V1_SX300.jpg
tt0001531,"Captain Starlight, or Gentleman of the Road",1911,N/A,4.6,N/A,N/A
tt0001586,A Dog's Tale,1911,N/A,4.5,N/A,N/A
tt0001592,In the Prime of Life,1911,Drama,5.4,"A wealthy young man, Edgar, sees a shop-girl, Ellen, and is immediately attracted to her. He buys her flowers. They meet next Sunday and, presumably, often thereafter. Three months later Ellen is pregnant. The couple decide to mar...",https://m.media-amazon.com/images/M/MV5BZDdlOTJmMTktNzEzYi00OTAwLTliMDktZGQ0ZDBkMTEzNjRkXkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_SX300.jpg
tt0001614,The Four Devils,1911,Drama,5.9,"Copenhagen. Two poor boys are sold to a circus and are trained together with two girls. Their first show is a success. Years later, as young adults, they are still together, but work is more and more difficult to find. One day, af...",https://m.media-amazon.com/images/M/MV5BZTA5MzVkNDAtYTBhOS00OTgzLTg3MzEtMjVlZWYxNTZmMjZjXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg
tt0001630,Der fremde Vogel,1911,N/A,5.7,"Vacationing in Germany, May falls for boatman Max. Her father disapproves and during a night of romance between the young couple Max drowns.",https://m.media-amazon.com/images/M/MV5BNTVlY2IwOTQtZDg2ZS00YmYwLTlmN2QtOTBiNDIxNGFhZDRkXkEyXkFqcGdeQXVyMTU1ODYxMDEw._V1_SX300.jpg
tt0001648,The Golden West,1911,N/A,3.9,N/A,N/A
tt0001706,The Infant at Snakeville,1911,N/A,3.5,"Mrs. Graham and her baby boy are on their way from the east to an uncle's ranch in Wyoming, and they have completed the long journey in safety up to the time they are to take the stagecoach to Snakeville, near which the ranch is l...",https://m.media-amazon.com/images/M/MV5BMmYyYTY3MmQtZmI0Yy00N2UzLTk1OWYtOWMxYTY2ODJkYTA3XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg
tt0001712,Jane Shore,1911,N/A,4.0,N/A,N/A
tt0001790,"Les Misérables, Part 1: Jean Valjean",1913,Drama,6.0,"Jean Valjean, a good man convicted of a minor crime, escapes from imprisonment and spends the rest of his life running from the vindictive and implacable man of the law, Javert.",https://m.media-amazon.com/images/M/MV5BMjAzMzQ3MjQxOV5BMl5BanBnXkFtZTgwMDQzNzExMzE@._V1_SX300.jpg
tt0001803,The Mystery of a Hansom Cab,1911,N/A,4.1,"A Melbourne playboy, Oliver White, is murdered as he is driven home one night in a hansom cab. Investigating the crime encompasses all aspects of Melbourne society.",https://m.media-amazon.com/images/M/MV5BNTA0MWQ0YjktYzM3ZS00MDBmLTkzMWEtM2IzODIxZDU1MTI1XkEyXkFqcGdeQXVyMzI2MDEwNA@@._V1_SX300.jpg
tt0001812,Oedipus Rex,1911,Drama,6.2,N/A,N/A
